longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,NEAR BAY
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,NEAR BAY
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,NEAR BAY
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,NEAR BAY
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,NEAR BAY
-118.30,34.26,15.0,5612.0,1283.0,3015.0,1138.0,3.4896,<1H OCEAN
-118.28,34.03,17.0,2224.0,394.0,1315.0,353.0,4.5250,<1H OCEAN
-118.28,34.03,18.0,2077.0,390.0,1129.0,375.0,4.6458,<1H OCEAN
-121.97,36.62,20.0,2349.0,434.0,1056.0,400.0,4.1406,NEAR OCEAN
-121.99,36.95,23.0,2120.0,376.0,1203.0,372.0,3.7434,NEAR OCEAN
